#beam run file  event                time              chan[0 11] 
1   38   91      2154 2017 09 29 12 53 48 0 0 0 1 0 0 1 1 0 0 1 0
1   38   91      2176 2017 09 29 12 53 50 0 1 1 0 0 1 1 0 1 0 0 0
1   38   91      3162 2017 09 29 12 55 08 0 0 1 0 1 0 0 0 0 0 0 1
1   38   91      4141 2017 09 29 12 56 30 0 1 0 1 1 0 0 0 0 0 0 1
1   38   27      2292 2017 09 28 23 09 45 0 0 1 1 1 0 1 1 0 0 0 1
1   38   27      6087 2017 09 28 23 14 35 0 0 0 1 0 0 1 1 1 0 0 0
1   38   27      6316 2017 09 28 23 14 52 0 0 0 1 0 0 0 1 1 1 0 0
1   38   27      8261 2017 09 28 23 17 23 0 1 0 1 0 0 0 1 0 0 0 1
1   38   36      3799 2017 09 29 01 06 50 0 0 1 0 0 0 1 1 1 0 0 0
1   38   38      3583 2017 09 29 01 32 36 0 1 1 1 0 0 0 1 1 1 1 1
1   38   40       434 2017 09 29 01 54 37 0 0 1 1 0 0 0 1 0 1 1 1
1   38   40      2585 2017 09 29 01 57 31 0 0 0 1 0 0 0 1 0 1 0 1
1   38   37      2684 2017 09 29 01 18 24 0 1 0 1 0 0 1 0 0 0 0 1
1   38   37      9277 2017 09 29 01 27 01 0 1 0 0 0 0 1 1 0 1 0 0
1   38   66      6245 2017 09 29 07 36 50 0 1 1 0 0 0 1 0 0 1 0 1
1   38   66      8243 2017 09 29 07 39 19 0 0 0 1 1 0 0 0 0 1 0 0
1   38   26      2033 2017 09 28 22 56 39 0 0 0 1 0 0 1 1 1 0 0 0
1   38   28      4396 2017 09 28 23 25 25 0 1 1 1 0 1 0 1 0 0 0 1
1   38   13      3576 2017 09 28 20 11 05 0 1 0 0 1 0 1 0 1 0 0 0
1   38   13      5551 2017 09 28 20 13 36 0 0 0 1 0 0 0 1 0 0 0 1
1   38   13      7532 2017 09 28 20 16 10 0 1 0 1 0 0 0 1 1 0 0 0
0   38   52      1638 2017 09 29 04 30 49 0 1 1 1 0 1 0 0 0 0 1 1
0   38   52      2766 2017 09 29 04 32 16 0 0 1 0 1 0 1 1 0 0 0 1
0   38   50      3377 2017 09 29 04 07 40 0 1 1 0 0 1 1 0 1 1 0 1
0   38   50      5254 2017 09 29 04 10 02 0 1 1 1 0 1 0 0 0 1 0 0
0   38   50      6494 2017 09 29 04 11 37 0 0 1 0 1 1 1 1 1 0 0 0
1   38  107      6307 2017 09 29 16 24 57 0 1 0 1 1 0 0 1 0 1 0 1
1   38  107      9235 2017 09 29 16 28 39 0 0 0 1 0 1 1 1 0 1 1 1
1   38  108      1886 2017 09 29 16 31 58 0 1 0 0 0 0 0 1 0 1 0 1
1   38  108      8230 2017 09 29 16 40 06 0 1 1 1 0 0 1 1 0 0 0 1
1   38  110      5521 2017 09 29 17 02 04 0 1 0 0 1 0 0 0 0 1 0 0
1   38  110      6349 2017 09 29 17 03 10 0 1 0 1 0 0 0 1 0 0 1 1
1   38   92      2187 2017 09 29 13 07 01 0 0 1 0 1 1 1 0 1 0 0 0
1   38   92      4007 2017 09 29 13 09 22 0 0 1 0 0 1 0 0 0 0 0 1
1   38   92      8829 2017 09 29 13 15 35 0 1 1 1 1 1 1 1 0 1 0 1
1   38   79      3862 2017 09 29 10 21 12 0 1 0 0 0 0 1 0 0 0 0 1
1   38   79      4001 2017 09 29 10 21 23 0 0 1 0 0 1 1 1 0 0 0 1
1   38   79      4282 2017 09 29 10 21 44 0 1 0 0 0 0 0 1 0 0 0 1
1   38   79      5342 2017 09 29 10 23 06 0 0 1 0 1 0 0 1 0 0 1 0
1   38   65      1525 2017 09 29 07 18 08 0 1 0 1 0 1 1 0 0 1 0 0
1   38   65      8595 2017 09 29 07 27 04 0 0 0 1 1 1 1 1 1 1 1 1
1   38   65      9396 2017 09 29 07 28 03 0 1 1 1 0 0 0 1 0 1 0 0
1   38   93      4054 2017 09 29 13 22 28 0 0 1 0 1 0 0 0 0 1 0 0
1   38   93      6994 2017 09 29 13 26 22 0 0 0 1 0 0 0 1 0 1 0 0
1   38   39       779 2017 09 29 01 41 57 0 1 0 0 0 0 1 0 0 1 0 1
1   38   39      2317 2017 09 29 01 43 58 0 1 0 0 1 1 1 1 0 1 0 0
1   38   39      6017 2017 09 29 01 48 49 0 0 0 1 1 0 0 1 0 1 0 0
1   38   39      6283 2017 09 29 01 49 09 0 0 1 1 1 0 0 1 0 0 1 0
1   38   39      8743 2017 09 29 01 52 20 0 1 1 1 1 0 0 1 0 0 1 0
1   38    9       356 2017 09 28 19 15 00 0 1 0 0 0 0 0 1 1 1 1 1
1   38    9      5904 2017 09 28 19 22 03 0 0 0 1 0 0 0 1 0 0 1 0
1   38    9      6774 2017 09 28 19 23 11 0 0 0 1 0 0 1 0 0 0 0 1
1   38    9      7760 2017 09 28 19 24 34 0 0 1 0 0 1 0 1 0 0 1 1
1   38    9      9679 2017 09 28 19 27 05 0 1 1 0 1 0 0 1 1 1 1 1
1   38   94       448 2017 09 29 13 30 55 0 1 0 0 0 1 1 0 1 1 0 1
1   38   94      3740 2017 09 29 13 35 02 0 0 1 0 1 1 1 0 0 1 1 1
1   38   68      6831 2017 09 29 08 03 18 0 1 1 1 0 1 0 1 0 0 1 0
1   38   82      2711 2017 09 29 10 58 40 0 0 1 0 0 0 0 1 0 1 0 1
1   38   82      7024 2017 09 29 11 04 13 0 1 0 1 0 1 1 1 0 0 0 1
1   38   67      6678 2017 09 29 07 50 14 0 1 1 0 1 0 1 0 0 0 0 1
1   38   80      3075 2017 09 29 10 33 03 0 1 1 1 1 1 1 0 0 0 0 1
1   38   80      4141 2017 09 29 10 34 26 0 1 0 1 0 1 0 0 0 0 0 1
1   38   80      5496 2017 09 29 10 36 17 0 1 1 1 0 0 0 1 0 1 0 1
1   38   80      8457 2017 09 29 10 40 10 0 1 0 0 0 1 0 0 0 1 0 1
1   38   81       950 2017 09 29 10 43 21 0 1 0 0 1 1 0 0 1 0 1 1
1   38   81      1066 2017 09 29 10 43 30 0 1 0 0 1 0 0 0 0 0 0 1
1   38   81      2211 2017 09 29 10 45 00 0 1 0 0 1 0 0 0 0 0 0 1
1   38   81      2235 2017 09 29 10 45 03 0 1 1 0 1 1 0 0 0 0 0 1
